CO_Mean,CO_Median,CO_ForwardFill,CO_Interpolation,CO_Seasonal
1.47,1.47,1.47,1.47,1.47
1.14,1.14,1.14,1.14,1.14
1.44,1.44,1.44,1.44,1.44
2.09,2.09,2.09,2.09,2.09
1.48,1.48,1.48,1.48,1.48
1.14,1.14,1.14,1.14,1.14
1.1,1.1,1.1,1.1,1.1
1.22,1.22,1.22,1.22,1.22
0.55,0.55,0.55,0.55,0.55
0.87,0.87,0.87,0.87,0.87
1.27,1.27,1.27,1.27,1.27
2.35,2.35,2.35,2.35,2.35
1.49,1.49,1.49,1.49,1.49
1.23,1.23,1.23,1.23,1.23
2.44,2.44,2.44,2.44,2.44
2.7,2.7,2.7,2.7,2.7
1.39,1.39,1.39,1.39,1.39
1.26,1.26,1.26,1.26,1.26
1.32,1.32,1.32,1.32,1.32
1.6,1.6,1.6,1.6,1.6
1.64,1.64,1.64,1.64,1.64
1.28,1.28,1.28,1.28,1.28
1.1,1.1,1.1,1.1,1.1
0.89,0.89,0.89,0.89,0.89
3.03,3.03,3.03,3.03,3.03
1.32,1.32,1.32,1.32,1.32
1.36,1.36,1.36,1.36,1.36
1.22,1.22,1.22,1.22,1.22
1.21,1.21,1.21,1.21,1.21
1.14,1.14,1.14,1.14,1.14
1.8,1.8,1.8,1.8,1.8
1.36,1.36,1.36,1.36,1.36
1.27,1.27,1.27,1.27,1.27
1.21,1.21,1.21,1.21,1.21
1.22,1.22,1.22,1.22,1.22
2.08,2.08,2.08,2.08,2.08
1.28,1.28,1.28,1.28,1.28
1.48,1.48,1.48,1.48,1.48
1.42,1.42,1.42,1.42,1.42
1.35,1.35,1.35,1.35,1.35
1.48,1.48,1.48,1.48,1.48
1.19,1.19,1.19,1.19,1.19
1.15,1.15,1.15,1.15,1.15
1.34,1.34,1.34,1.34,1.34
1.9,1.9,1.9,1.9,1.9
1.59,1.59,1.59,1.59,1.59
1.51,1.51,1.51,1.51,1.51
1.53,1.53,1.53,1.53,1.53
1.73,1.73,1.73,1.73,1.73
1.32,1.32,1.32,1.32,1.32
1.24,1.24,1.24,1.24,1.24
0.68,0.68,0.68,0.68,0.68
6.44,6.44,6.44,6.44,6.44
1.44,1.44,1.44,1.44,1.44
1.48,1.48,1.48,1.48,1.48
0.87,0.87,0.87,0.87,0.87
1.23,1.23,1.23,1.23,1.23
1.1,1.1,1.1,1.1,1.1
1.08,1.08,1.08,1.08,1.08
1.95,1.95,1.95,1.95,1.95
1.14,1.14,1.14,1.14,1.14
1.09,1.09,1.09,1.09,1.09
2.44,2.44,2.44,2.44,2.44
1.89,1.89,1.89,1.89,1.89
1.11,1.11,1.11,1.11,1.11
1.26,1.26,1.26,1.26,1.26
1.05,1.05,1.05,1.05,1.05
1.46,1.46,1.46,1.46,1.46
0.91,0.91,0.91,0.91,0.91
1.3,1.3,1.3,1.3,1.3
1.19,1.19,1.19,1.19,1.19
1.26,1.26,1.26,1.26,1.26
1.21,1.21,1.21,1.21,1.21
0.9,0.9,0.9,0.9,0.9
1.4,1.4,1.4,1.4,1.4
0.6,0.6,0.6,0.6,0.6
1.2,1.2,1.2,1.2,1.2
1.37,1.37,1.37,1.37,1.37
0.51,0.51,0.51,0.51,0.51
1.7,1.7,1.7,1.7,1.7
1.6699342105263157,1.4249999999999998,1.7,1.555,1.2650000000000001
1.41,1.41,1.41,1.41,1.41
1.6699342105263157,1.4249999999999998,1.41,2.01,1.4449999999999998
2.61,2.61,2.61,2.61,2.61
1.14,1.14,1.14,1.14,1.14
1.3,1.3,1.3,1.3,1.3
1.6699342105263157,1.4249999999999998,1.3,1.59,1.3216666666666668
1.6699342105263157,1.4249999999999998,1.3,1.88,1.625
2.17,2.17,2.17,2.17,2.17
1.26,1.26,1.26,1.26,1.26
1.26,1.26,1.26,1.26,1.26
1.6699342105263157,1.4249999999999998,1.26,1.9249999999999998,1.4708333333333332
2.59,2.59,2.59,2.59,2.59
1.12,1.12,1.12,1.12,1.12
1.6699342105263157,1.4249999999999998,1.12,1.2200000000000002,1.1975000000000002
1.32,1.32,1.32,1.32,1.32
0.75,0.75,0.75,0.75,0.75
1.6699342105263157,1.4249999999999998,0.75,0.645,1.1041666666666667
0.54,0.54,0.54,0.54,0.54
1.95,1.95,1.95,1.95,1.95
1.6699342105263157,1.4249999999999998,1.95,1.605,1.2891666666666666
1.26,1.26,1.26,1.26,1.26
1.6699342105263157,1.4249999999999998,1.26,1.205,1.3508333333333336
1.15,1.15,1.15,1.15,1.15
0.82,0.82,0.82,0.82,0.82
1.6699342105263157,1.4249999999999998,0.82,0.9199999999999999,0.8433333333333333
1.02,1.02,1.02,1.02,1.02
0.96,0.96,0.96,0.96,0.96
1.09,1.09,1.09,1.09,1.09
1.6699342105263157,1.4249999999999998,1.09,0.9500000000000001,1.1266666666666667
0.81,0.81,0.81,0.81,0.81
1.6699342105263157,1.4249999999999998,0.81,0.8200000000000001,0.9725
0.83,0.83,0.83,0.83,0.83
1.6699342105263157,1.4249999999999998,0.83,0.835,1.0825
0.84,0.84,0.84,0.84,0.84
1.6699342105263157,1.4249999999999998,0.84,0.9199999999999999,1.0533333333333332
1.0,1.0,1.0,1.0,1.0
1.6699342105263157,1.4249999999999998,1.0,1.2149999999999999,1.1237499999999998
1.43,1.43,1.43,1.43,1.43
0.93,0.93,0.93,0.93,0.93
1.6699342105263157,1.4249999999999998,0.93,1.09,1.0483333333333333
1.25,1.25,1.25,1.25,1.25
1.21,1.21,1.21,1.21,1.21
1.59,1.59,1.59,1.59,1.59
1.14,1.14,1.14,1.14,1.14
1.6699342105263157,1.4249999999999998,1.14,1.16,1.16
1.18,1.18,1.18,1.18,1.18
1.02,1.02,1.02,1.02,1.02
1.04,1.04,1.04,1.04,1.04
1.6699342105263157,1.4249999999999998,1.04,1.145,1.2525
1.25,1.25,1.25,1.25,1.25
1.03,1.03,1.03,1.03,1.03
1.6699342105263157,1.4249999999999998,1.03,1.345,1.2658333333333331
1.66,1.66,1.66,1.66,1.66
0.98,0.98,0.98,0.98,0.98
1.6699342105263157,1.4249999999999998,0.98,1.1400000000000001,1.0966666666666667
1.3,1.3,1.3,1.3,1.3
1.2,1.2,1.2,1.2,1.2
1.6699342105263157,1.4249999999999998,1.2,1.045,1.17125
0.89,0.89,0.89,0.89,0.89
1.6699342105263157,1.4249999999999998,0.89,0.8400000000000001,1.01125
0.79,0.79,0.79,0.79,0.79
1.6699342105263157,1.4249999999999998,0.79,1.1800000000000002,1.0416666666666667
1.57,1.57,1.57,1.57,1.57
1.6699342105263157,1.4249999999999998,1.57,1.725,1.5150000000000001
1.88,1.88,1.88,1.88,1.88
1.24,1.24,1.24,1.24,1.24
1.13,1.13,1.13,1.13,1.13
1.6699342105263157,1.4249999999999998,1.13,1.0,0.8916666666666666
0.87,0.87,0.87,0.87,0.87
2.05,2.05,2.05,2.05,2.05
1.64,1.64,1.64,1.64,1.64
1.14,1.14,1.14,1.14,1.14
1.67,1.67,1.67,1.67,1.67
0.76,0.76,0.76,0.76,0.76
1.6699342105263157,1.4249999999999998,0.76,0.78,0.7325
0.8,0.8,0.8,0.8,0.8
1.6699342105263157,1.4249999999999998,0.8,0.965,1.3162500000000001
1.13,1.13,1.13,1.13,1.13
1.6699342105263157,1.4249999999999998,1.13,1.15,1.39
1.17,1.17,1.17,1.17,1.17
1.6699342105263157,1.4249999999999998,1.17,0.875,0.9212499999999999
0.58,0.58,0.58,0.58,0.58
1.32,1.32,1.32,1.32,1.32
1.44,1.44,1.44,1.44,1.44
1.46,1.46,1.46,1.46,1.46
1.07,1.07,1.07,1.07,1.07
1.41,1.41,1.41,1.41,1.41
1.13,1.13,1.13,1.13,1.13
1.6699342105263157,1.4249999999999998,1.13,1.345,1.1375
1.56,1.56,1.56,1.56,1.56
1.61,1.61,1.61,1.61,1.61
1.6699342105263157,1.4249999999999998,1.61,2.02,1.6866666666666665
2.43,2.43,2.43,2.43,2.43
1.6699342105263157,1.4249999999999998,2.43,1.6400000000000001,1.4533333333333334
0.85,0.85,0.85,0.85,0.85
1.35,1.35,1.35,1.35,1.35
1.95,1.95,1.95,1.95,1.95
1.6699342105263157,1.4249999999999998,1.95,1.64,1.7183333333333333
1.6699342105263157,1.4249999999999998,1.95,1.33,1.2516666666666665
1.02,1.02,1.02,1.02,1.02
1.6699342105263157,1.4249999999999998,1.02,1.1600000000000001,1.33
1.3,1.3,1.3,1.3,1.3
0.86,0.86,0.86,0.86,0.86
1.6699342105263157,1.4249999999999998,0.86,1.135,1.38625
1.41,1.41,1.41,1.41,1.41
1.47,1.47,1.47,1.47,1.47
1.6699342105263157,1.4249999999999998,1.47,1.345,1.5274999999999999
1.22,1.22,1.22,1.22,1.22
1.6699342105263157,1.4249999999999998,1.22,1.18,1.1949999999999998
1.14,1.14,1.14,1.14,1.14
1.45,1.45,1.45,1.45,1.45
1.6699342105263157,1.4249999999999998,1.45,1.4849999999999999,1.4441666666666666
1.52,1.52,1.52,1.52,1.52
1.68,1.68,1.68,1.68,1.68
1.87,1.87,1.87,1.87,1.87
1.48,1.48,1.48,1.48,1.48
1.6699342105263157,1.4249999999999998,1.48,1.5350000000000001,1.3137500000000002
1.59,1.59,1.59,1.59,1.59
1.36,1.36,1.36,1.36,1.36
1.41,1.41,1.41,1.41,1.41
1.6699342105263157,1.4249999999999998,1.41,1.7199999999999998,1.7383333333333333
2.03,2.03,2.03,2.03,2.03
1.6699342105263157,1.4249999999999998,2.03,1.4,1.57
0.77,0.77,0.77,0.77,0.77
1.35,1.35,1.35,1.35,1.35
1.44,1.44,1.44,1.44,1.44
1.66,1.66,1.66,1.66,1.66
1.77,1.77,1.77,1.77,1.77
1.6699342105263157,1.4249999999999998,1.77,1.6400000000000001,1.8983333333333334
1.51,1.51,1.51,1.51,1.51
1.6,1.6,1.6,1.6,1.6
1.6699342105263157,1.4249999999999998,1.6,1.57,1.775
1.54,1.54,1.54,1.54,1.54
1.52,1.52,1.52,1.52,1.52
1.82,1.82,1.82,1.82,1.82
1.6699342105263157,1.4249999999999998,1.82,2.025,2.1624999999999996
2.23,2.23,2.23,2.23,2.23
1.6699342105263157,1.4249999999999998,2.23,2.12,2.0116666666666667
2.01,2.01,2.01,2.01,2.01
1.97,1.97,1.97,1.97,1.97
3.07,3.07,3.07,3.07,3.07
1.6699342105263157,1.4249999999999998,3.07,2.82,2.3866666666666667
2.57,2.57,2.57,2.57,2.57
1.6699342105263157,1.4249999999999998,2.57,2.955,2.455
3.34,3.34,3.34,3.34,3.34
2.97,2.97,2.97,2.97,2.97
1.6699342105263157,1.4249999999999998,2.97,3.1950000000000003,2.58875
3.42,3.42,3.42,3.42,3.42
2.27,2.27,2.27,2.27,2.27
1.6699342105263157,1.4249999999999998,2.27,2.24,2.62
2.21,2.21,2.21,2.21,2.21
1.6699342105263157,1.4249999999999998,2.21,2.42,2.51
2.63,2.63,2.63,2.63,2.63
2.46,2.46,2.46,2.46,2.46
1.6699342105263157,1.4249999999999998,2.46,2.236666666666667,2.8525
1.6699342105263157,1.4249999999999998,2.46,2.013333333333333,2.455
1.79,1.79,1.79,1.79,1.79
1.87,1.87,1.87,1.87,1.87
1.86,1.86,1.86,1.86,1.86
1.6699342105263157,1.4249999999999998,1.86,1.9100000000000001,2.23875
1.96,1.96,1.96,1.96,1.96
1.6699342105263157,1.4249999999999998,1.96,2.435,2.5675
2.91,2.91,2.91,2.91,2.91
4.64,4.64,4.64,4.64,4.64
1.6699342105263157,1.4249999999999998,4.64,3.8466666666666662,3.8362499999999997
1.6699342105263157,1.4249999999999998,4.64,3.053333333333333,2.06
2.26,2.26,2.26,2.26,2.26
3.4,3.4,3.4,3.4,3.4
1.6699342105263157,1.4249999999999998,3.4,3.79,2.885
4.18,4.18,4.18,4.18,4.18
1.6699342105263157,1.4249999999999998,4.18,5.205,4.064166666666667
6.23,6.23,6.23,6.23,6.23
1.6699342105263157,1.4249999999999998,6.23,4.32,3.0900000000000003
2.41,2.41,2.41,2.41,2.41
1.6699342105263157,1.4249999999999998,2.41,2.1950000000000003,2.4375
1.98,1.98,1.98,1.98,1.98
1.6699342105263157,1.4249999999999998,1.98,2.16,2.8525
2.34,2.34,2.34,2.34,2.34
1.82,1.82,1.82,1.82,1.82
